int_lat,sched
17000,47850
29400,37050
14550,57050
3000,1500
34050,34250
1000,1500
52650,14450
3000,3000
48100,18550
25450,43450
67700,51050
3400,1400
32700,10400
47250,29600
15400,31050
70400,45050
4900,22900
24350,36050
2850,2450
20250,41750
